tipo_de_propiedad,lugar,lat-lon,precio,moneda,precio_aprox_local,precio_aprox_usd,superficie_total_en_m2,superficie_cubierta_en_m2,precio_por_m2_usd,precio_por_m2,lat,lon
Apartamento,Benito Juárez,"19.393401,-99.165187",4680000,MXN,4637663.38,246572.74,120,120,2054.7728333333334,39000,19.393401,-99.165187
Casa,Xochimilco,"19.276603,-99.137819",2718666,MXN,2694072.17,143236.95,90,90,1591.5216666666668,30207.4,19.276603,-99.137819
Apartamento,Cuauhtémoc,"19.431629,-99.162762",2126666,MXN,2107427.53,112046.55,112,112,1000.415625,18988.08929,19.431629,-99.162762
Apartamento,Tláhuac,"19.2990233,-99.0436467",1013300,MXN,1004371.45,53399.87,60,60,889.9978333333333,16888.33333,19.2990233,-99.0436467
Apartamento,Miguel Hidalgo,"19.453854,-99.193979",680400,MXN,674244.85,35847.88,65,65,551.5058461538462,10467.69231,19.453854,-99.193979
Apartamento,Miguel Hidalgo,"19.407269,-99.190754",999375,USD,18796744.68,999375,256,208,3903.808594,4804.6875,19.407269,-99.190754
Casa,Iztapalapa,"19.3383626772,-99.0706713125",1800000,MXN,1784139.7,94858.16,160,200,592.8635,9000,19.33836268,-99.07067131
Apartamento,Azcapotzalco,"19.458968,-99.152898",568696,MXN,563551.37,29962.59,60,60,499.3765,9478.266667,19.458968,-99.152898
Casa,Iztapalapa,"19.345087,-99.10273",1339289,MXN,1327173.27,70562.42,131,131,538.6444275,10223.58015,19.345087,-99.10273
Apartamento,Benito Juárez,"19.394073,-99.153915",3200000,MXN,3171051.78,168596.74,90,90,1873.297111111111,35555.55556,19.394073,-99.153915
Casa,Coyoacán,"19.346749,-99.145944",992000,MXN,983026.06,52264.99,70,70,746.6427142857143,14171.42857,19.346749,-99.145944
Apartamento,Iztapalapa,"19.332034,-99.062028",683000,MXN,676821.23,35984.86,65,65,553.6132307692308,10507.69231,19.332034,-99.062028
Casa,Iztacalco,"19.381207,-99.0978814",3200000,MXN,3171803.93,168636.73,180,264,936.8707222,12121.21212,19.381207,-99.0978814
Casa,Álvaro Obregón,"19.3398,-99.215945",3881333,MXN,3846221.26,204493.78,287,287,712.5218815,13523.80836,19.3398,-99.215945
Apartamento,Benito Juárez,"19.3753948137,-99.1657587614",9350000,MXN,9265417.31,492618.62,159,159,3098.230314,58805.03145,19.37539481,-99.16575876
Apartamento,Tláhuac,"19.305214,-99.046887",322040,MXN,319126.64,16967.15,50,50,339.343,6440.8,19.305214,-99.046887
Apartamento,Benito Juárez,"19.387245,-99.147388",2350000,MXN,2328741.13,123813.23,147,147,842.2668707482993,15986.39456,19.387245,-99.147388
Apartamento,Cuajimalpa,"19.357350,-99.299792",1706400,MXN,1690963.33,89904.21,47,47,1912.8555319148938,36306.38298,19.35735,-99.299792
Apartamento,Benito Juárez,"19.366081,-99.139389",2008000,MXN,1989834.91,105794.45,63,63,1679.2769841269842,31873.01587,19.366081,-99.139389
Casa,Miguel Hidalgo,"19.420166,-99.220367",4000000,USD,75234000,4000000,713,451,5610.098177,8869.179601,19.420166,-99.220367
Apartamento,Benito Juárez,"19.370272,-99.149127",706000,MXN,699613.19,37196.65,64,64,581.1976563,11031.25,19.370272,-99.149127
Casa,Iztapalapa,"19.366935,-99.077541",1464700,MXN,1451449.87,77169.89,208,208,371.00908653846153,7041.826923,19.366935,-99.077541
Apartamento,Benito Juárez,"19.386715,-99.143999",1515000,MXN,1501294.84,79820.02,70,70,1140.286,21642.85714,19.386715,-99.143999
Casa,Cuajimalpa,"19.367827,-99.289665",7200000,MXN,7134866.79,379342.68,420,420,903.1968571428571,17142.85714,19.367827,-99.289665
Apartamento,Azcapotzalco,"19.458968,-99.152898",568696,MXN,563684.91,29969.69,70,70,428.13842857142856,8124.228571,19.458968,-99.152898
Casa,Álvaro Obregón,"19.3641188,-99.2640457",15599000,MXN,15461553,822051.36,658,530,1249.318176,29432.07547,19.3641188,-99.2640457
Apartamento,Miguel Hidalgo,"19.445471,-99.17317",1295000,MXN,1283284.95,68228.99,70,70,974.6998571428572,18500,19.445471,-99.17317
Casa,Gustavo A Madero,"19.482945,-99.113471",3700000,MXN,3666528.8,194939.99,160,160,1218.374938,23125,19.482945,-99.113471
Apartamento,Miguel Hidalgo,"19.443903,-99.171681",995333,MXN,986328.83,52440.59,70,70,749.1512857142857,14219.04286,19.443903,-99.171681
Apartamento,Coyoacán,"19.314831,-99.140445",1119657,MXN,1109528.27,58990.79,100,100,589.9079,11196.57,19.314831,-99.140445
Casa,Azcapotzalco,"19.464928,-99.180214",5500000,MXN,5450245.5,289775.66,310,310,934.7601935483871,17741.93548,19.464928,-99.180214
Apartamento,Coyoacán,"19.317741,-99.119331",1189000,MXN,1178243.81,62644.22,86,86,728.4211627906977,13825.5814,19.317741,-99.119331
Casa,Álvaro Obregón,"19.367477,-99.222025",3060000,MXN,3032318.4,161220.64,200,200,806.1032,15300,19.367477,-99.222025
Apartamento,Coyoacán,"19.305984,-99.127341",2037000,MXN,2019051.28,107347.81,80,80,1341.8476249999999,25462.5,19.305984,-99.127341
Apartamento,Benito Juárez,"19.365843,-99.149901",1460000,MXN,1447135.39,76940.5,60,60,1282.3416666666667,24333.33333,19.365843,-99.149901
Casa,Miguel Hidalgo,"19.401079,-99.24807",13500000,MXN,13377875.33,711267.53,591,650,1203.498359,20769.23077,19.401079,-99.24807
Casa,Iztapalapa,"19.383751,-99.071318",3569000,MXN,3536713.85,188038.06,250,250,752.15224,14276,19.383751,-99.071318
